CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09,ttlincg2,famincg2
92,10,6,9,10,8,6,7,10,3,6
93,8,5,8,10,5,3,5,8,3,6
94,8,5,9,10,10,5,9,8,1,6
95,8,5,5,10,5,4,8,5,2,4
96,10,5,10,10,5,8,10,10,4,6
97,96,96,96,96,96,96,96,96,3,5
98,96,96,96,96,96,96,96,96,1,1
99,96,96,96,96,96,96,96,96,1,2
100,8,7,8,10,5,5,4,9,4,6
101,10,0,10,10,0,0,10,10,6,6
102,9,0,8,9,0,2,10,10,1,1
103,10,10,10,10,10,7,10,10,3,6
104,8,5,8,9,5,2,9,9,3,3
105,8,10,10,10,0,5,10,10,3,5
106,96,96,96,96,96,96,96,96,1,2
107,10,5,10,10,0,0,10,10,4,6
108,10,7,10,10,4,6,10,10,2,6
109,10,5,10,10,2,0,10,10,1,1
110,96,96,96,96,96,96,96,96,3,3
111,96,96,96,96,96,96,96,96,1,2
112,9,2,9,10,0,0,10,10,1,2
113,9,8,9,10,7,7,10,10,3,5
114,5,8,9,10,2,3,8,10,3,5
115,96,96,96,96,96,96,96,96,1,1
116,96,96,96,96,96,96,96,96,2,6
117,96,96,96,96,96,96,96,96,1,2
118,96,96,96,96,96,96,96,96,1,2
119,7,4,8,9,2,5,10,9,3,3
120,96,96,96,96,96,96,96,96,2,2
121,8,5,8,10,1,6,8,8,2,2
122,9,9,10,10,7,5,9,10,3,6
123,96,96,96,96,96,96,96,96,1,1
124,96,96,96,96,96,96,96,96,1,1
125,96,96,96,96,96,96,96,96,2,2
126,7,10,9,10,10,10,6,8,3,4
127,9,10,10,10,10,2,10,10,1,4
128,5,8,9,8,3,5,5,10,5,5
129,96,96,96,96,96,96,96,96,1,1
130,4,10,2,10,2,5,2,10,3,3
131,9,3,9,10,0,2,9,9,3,3
132,10,6,10,10,0,0,10,10,3,6
133,96,96,96,96,96,96,96,96,2,4
134,7,7,7,8,8,5,7,8,4,4
135,96,96,96,96,96,96,96,96,3,3
136,7,6,10,10,6,7,7,10,5,5
137,96,96,96,96,96,96,96,96,1,4
138,10,96,10,10,0,0,10,10,1,6
139,10,5,10,10,7,2,8,10,1,2
140,8,7,8,10,5,5,6,8,3,3
141,96,96,96,96,96,96,96,96,1,1
142,7,9,7,8,10,5,6,7,1,3
143,96,96,96,96,96,96,96,96,1,1
144,8,10,10,6,0,4,7,10,2,2
145,96,96,96,96,96,96,96,96,1,1
146,96,96,96,96,96,96,96,96,4,6
147,8,5,10,10,5,5,8,10,6,6
148,96,96,96,96,96,96,96,96,1,3
149,9,6,8,10,5,0,8,10,3,3
150,96,96,96,96,96,96,96,96,2,4
151,8,8,6,10,10,6,3,8,3,5
152,10,3,9,10,9,0,5,7,3,6
153,96,96,96,96,96,96,96,96,1,1
154,96,96,96,96,96,96,96,96,1,3
155,7,2,7,9,3,7,10,8,2,3
156,96,96,96,96,96,96,96,96,1,1
157,10,0,10,10,0,2,8,10,3,3
158,2,96,2,2,4,3,7,10,3,3
159,10,99,8,10,2,1,10,10,2,6
160,96,96,96,96,96,96,96,96,2,2
161,96,96,96,96,96,96,96,96,1,3
162,10,7,7,8,6,8,7,7,6,6
163,7,5,8,8,2,4,6,9,1,6
164,5,10,4,7,10,10,2,6,2,3
165,8,4,8,10,2,5,9,9,1,6
166,8,96,10,10,6,5,8,8,1,4
167,8,5,8,8,5,5,6,8,4,4
168,96,96,96,96,96,96,96,96,1,3
169,8,2,8,9,4,2,8,8,2,2
170,10,96,10,10,1,1,10,10,2,2
171,7,10,10,10,10,5,10,10,4,6
172,96,96,96,96,96,96,96,96,2,2
173,96,96,96,96,96,96,96,96,1,3
174,7,96,8,8,2,2,7,7,1,1
175,9,4,10,10,0,5,6,9,2,3
176,96,96,96,96,96,96,96,96,1,2
177,96,96,96,96,96,96,96,96,1,1
178,10,5,10,10,10,1,8,10,2,2
179,96,96,96,96,96,96,96,96,1,1
180,8,96,10,10,3,3,5,10,3,5
181,9,8,10,10,4,4,10,10,3,3
182,6,0,10,10,0,0,10,5,3,3
183,96,96,96,96,96,96,96,96,4,4
184,10,4,8,10,7,5,8,8,3,3
185,96,96,96,96,96,96,96,96,1,2
186,96,96,96,96,96,96,96,96,1,3
187,10,1,10,10,1,0,5,10,4,4
188,96,96,96,96,96,96,96,96,2,2
189,8,2,10,9,0,2,8,9,6,6
190,8,3,7,9,2,5,9,9,2,2
191,8,5,7,8,8,0,8,8,3,3
192,96,96,96,96,96,96,96,96,2,2
193,96,96,96,96,96,96,96,96,1,3
194,96,96,96,96,96,96,96,96,2,2
195,96,96,96,96,96,96,96,96,1,4
196,10,6,8,8,3,6,7,10,3,3
197,8,5,9,8,8,6,8,9,3,5
198,96,96,96,96,96,96,96,96,1,1
199,96,96,96,96,96,96,96,96,1,1
200,10,7,10,10,10,3,10,10,4,6
201,9,2,10,10,1,6,9,9,2,6
202,96,96,96,96,96,96,96,96,3,3
203,8,8,9,9,6,5,7,10,2,2
204,8,2,8,10,0,0,5,8,6,6
205,8,8,10,10,10,8,10,10,3,4
206,8,2,8,10,3,3,8,10,2,2
207,10,96,8,10,8,3,10,10,1,6
208,9,9,10,10,10,5,10,10,4,5
209,8,5,10,10,7,9,7,10,2,6
210,96,96,96,96,96,96,96,96,1,2
211,7,10,4,0,4,8,9,6,3,4
212,8,96,5,9,0,5,10,10,2,2
213,96,96,96,96,96,96,96,96,5,5
214,8,7,8,10,10,3,10,8,5,5
215,8,7,9,5,2,4,7,10,2,5
216,96,96,96,96,96,96,96,96,3,3
217,9,3,9,9,1,4,7,10,3,4
218,9,96,9,8,10,10,9,8,1,2
219,10,3,8,10,0,1,10,7,5,6
220,10,1,10,10,0,0,10,10,3,4
221,96,96,96,96,96,96,96,96,1,6
222,96,96,96,96,96,96,96,96,1,6
223,4,5,5,6,8,8,8,6,2,6
224,10,4,10,10,4,3,7,10,3,3
225,10,5,10,10,6,5,7,10,1,1
226,96,96,96,96,96,96,96,96,2,5
227,10,96,10,10,0,0,10,10,2,4
228,96,96,96,96,96,96,96,96,1,3
229,6,3,10,10,8,7,9,8,2,2
230,8,9,8,9,4,10,8,8,4,6
231,9,3,9,10,5,5,10,9,3,5
232,8,10,8,10,10,7,7,10,2,5
233,96,96,96,96,96,96,96,96,2,6
234,96,96,96,96,96,96,96,96,1,1
235,7,5,8,10,8,5,8,8,2,3
236,8,5,8,8,10,3,8,8,3,4
237,6,8,9,9,6,6,7,9,3,6
238,8,4,8,10,4,4,8,8,1,1
239,10,5,9,10,2,2,7,10,3,6
240,10,2,10,10,3,4,4,10,2,2
241,10,0,9,10,0,0,10,8,4,5
242,96,96,96,96,96,96,96,96,1,1
243,10,96,10,10,10,0,10,10,2,2
244,96,96,96,96,96,96,96,96,1,2
245,96,96,96,96,96,96,96,96,1,1
246,96,96,96,96,96,96,96,96,1,3
247,9,96,10,10,3,3,10,10,1,1
248,7,2,10,10,10,2,9,10,3,5
249,10,10,10,10,2,0,10,10,2,5
250,5,96,7,8,4,6,2,9,1,6
251,96,96,96,96,96,96,96,96,2,2
252,96,96,96,96,96,96,96,96,2,5
253,96,96,96,96,96,96,96,96,2,4
254,8,0,8,10,0,2,8,8,6,6
255,8,2,9,10,6,4,8,7,5,5
256,10,10,8,8,5,6,10,10,2,4
257,10,10,10,10,0,3,10,10,2,6
258,96,96,96,96,96,96,96,96,2,2
259,7,1,8,9,1,1,6,6,4,5
260,96,96,96,96,96,96,96,96,1,1
261,96,96,96,96,96,96,96,96,1,3
262,10,10,10,10,10,8,10,10,2,3
263,96,96,96,96,96,96,96,96,4,6
264,96,96,96,96,96,96,96,96,2,2
265,7,4,7,9,2,0,10,10,4,6
266,8,96,9,10,5,8,5,10,1,6
267,10,7,7,10,10,6,10,7,3,3
268,96,96,96,96,96,96,96,96,1,5
269,8,6,8,10,7,6,10,10,5,5
270,10,10,8,10,10,8,10,10,2,2
271,8,5,10,10,10,10,9,10,6,6
272,8,7,9,9,10,9,8,10,4,6
273,7,5,8,10,5,2,7,7,2,6
274,96,96,96,96,96,96,96,96,3,6
275,4,5,7,8,1,3,5,9,2,2
276,4,96,8,5,4,3,8,7,2,5
277,96,96,96,96,96,96,96,96,1,1
278,96,96,96,96,96,96,96,96,1,1
279,8,99,8,10,0,3,8,10,6,6
280,10,10,5,10,10,10,5,10,2,2
281,96,96,96,96,96,96,96,96,3,3
282,96,96,96,96,96,96,96,96,3,3
283,10,5,10,10,10,5,10,10,2,6
284,9,8,1,10,7,5,7,10,3,5
285,96,96,96,96,96,96,96,96,2,5
286,10,5,10,10,0,5,10,10,2,2
287,96,96,96,96,96,96,96,96,3,3
288,7,7,6,8,3,6,6,8,5,6
289,96,96,96,96,96,96,96,96,6,6
290,4,4,9,10,3,8,8,10,3,6
291,8,8,7,8,6,3,5,8,5,6
292,7,3,10,10,1,1,10,8,2,3
293,96,96,96,96,96,96,96,96,1,2
294,96,96,96,96,96,96,96,96,1,1
295,96,96,96,96,96,96,96,96,2,5
296,96,96,96,96,96,96,96,96,2,2
297,10,96,8,10,0,2,10,10,1,4
298,8,4,8,8,10,4,8,10,2,2
299,8,7,9,6,4,6,6,10,1,1
300,96,96,96,96,96,96,96,96,1,1
301,8,5,8,10,4,5,7,9,3,3
302,8,4,8,9,4,4,8,7,1,1
303,10,96,10,10,97,7,10,10,3,4
304,96,96,96,96,96,96,96,96,1,2
305,8,10,10,8,10,7,9,9,3,3
306,96,96,96,96,96,96,96,96,1,1
307,96,96,96,96,96,96,96,96,3,3
308,10,5,10,10,0,5,10,10,3,6
309,10,1,10,10,0,0,8,10,6,6
310,7,5,7,8,0,0,6,6,4,6
311,10,96,10,10,0,0,10,10,2,2
312,8,3,8,8,1,3,8,8,3,6
313,9,6,8,9,1,2,8,8,1,1
314,96,96,96,96,96,96,96,96,1,1
315,8,6,7,8,10,7,8,8,3,6
316,96,96,96,96,96,96,96,96,1,1
317,8,96,10,10,1,2,8,8,3,3
318,96,96,96,96,96,96,96,96,2,4
319,8,0,97,10,0,0,97,10,2,6
320,7,96,8,8,10,5,5,8,6,6
321,96,96,96,96,96,96,96,96,2,4
322,9,2,9,10,0,2,10,9,3,5
323,96,96,96,96,96,96,96,96,2,3
324,96,96,96,96,96,96,96,96,2,3
325,96,96,96,96,96,96,96,96,4,4
326,6,6,8,3,9,4,7,4,1,5
327,8,7,9,9,3,8,8,9,5,5
328,10,0,10,10,5,0,8,10,2,4
329,96,96,96,96,96,96,96,96,1,3
330,96,96,96,96,96,96,96,96,2,5
331,96,96,96,96,96,96,96,96,2,2
332,96,96,96,96,96,96,96,96,4,5
333,96,96,96,96,96,96,96,96,1,1
334,10,6,9,10,0,0,5,7,1,1
335,7,9,10,8,7,6,9,8,1,3
336,8,96,10,10,0,5,10,10,1,1
337,10,0,10,10,0,0,7,10,2,3
338,8,8,6,7,3,5,7,8,3,6
339,8,2,8,8,2,6,8,8,4,6
340,10,2,8,10,5,4,10,10,4,4
341,8,3,10,10,1,3,3,10,4,6
342,10,96,10,10,10,10,10,10,3,6
343,96,96,96,96,96,96,96,96,3,5
344,10,10,10,10,9,10,10,10,2,2
345,9,9,7,10,10,7,7,8,3,6
346,8,3,10,10,10,4,8,8,3,6
347,96,96,96,96,96,96,96,96,2,5
348,10,7,9,10,7,2,8,10,1,5
349,8,10,2,10,10,7,7,5,3,5
350,96,96,96,96,96,96,96,96,2,6
351,6,10,8,7,10,8,8,10,3,3
352,10,9,10,10,0,2,9,10,3,3
353,96,96,96,96,96,96,96,96,2,2
354,10,5,10,10,1,10,10,10,2,2
355,8,8,8,9,4,4,8,9,2,3
356,8,7,10,10,10,7,7,6,3,6
357,96,96,96,96,96,96,96,96,3,5
358,8,3,10,10,5,5,7,8,4,4
359,96,96,96,96,96,96,96,96,2,3
360,7,7,8,10,10,8,9,9,3,4
361,9,6,7,10,10,5,9,10,2,2
362,96,96,96,96,96,96,96,96,2,3
363,7,3,8,8,5,8,10,10,1,1
364,10,96,10,10,6,6,10,10,3,6
365,96,96,96,96,96,96,96,96,6,6
366,96,96,96,96,96,96,96,96,1,4
367,96,96,96,96,96,96,96,96,1,2
368,9,3,7,10,4,4,7,3,4,4
369,9,0,7,6,5,6,6,7,2,2
370,96,96,96,96,96,96,96,96,2,4
371,5,10,0,10,10,5,0,5,3,6
372,96,96,96,96,96,96,96,96,2,6
373,10,10,8,9,7,7,8,10,2,6
374,7,6,9,9,10,5,7,10,2,3
375,97,0,0,10,10,2,4,2,3,3
376,96,96,96,96,96,96,96,96,1,3
377,96,96,96,96,96,96,96,96,3,3
378,96,96,96,96,96,96,96,96,2,3
379,10,7,10,10,7,7,10,10,3,3
380,96,96,96,96,96,96,96,96,1,3
381,8,2,8,10,10,5,10,10,4,6
382,10,5,10,10,5,3,10,10,4,6
383,10,0,10,10,0,1,9,10,1,5
384,96,96,96,96,96,96,96,96,1,6
385,10,5,10,10,0,0,5,10,2,3
386,8,96,8,10,0,0,10,8,1,6
387,10,3,10,10,1,1,10,10,2,4
388,10,10,8,5,10,10,6,8,3,3
389,9,7,9,9,5,4,7,9,3,3
390,10,0,10,10,10,0,10,10,3,3
391,9,4,9,10,4,7,8,9,2,3
392,8,2,5,8,0,1,8,8,1,6
393,96,96,96,96,96,96,96,96,1,1
394,7,7,9,9,2,2,8,10,1,3
395,96,96,96,96,96,96,96,96,2,3
396,96,96,96,96,96,96,96,96,3,3
397,10,5,8,10,1,1,10,10,3,3
398,96,96,96,96,96,96,96,96,1,2
399,96,96,96,96,96,96,96,96,1,1
400,96,96,96,96,96,96,96,96,1,1
401,5,9,4,6,8,7,8,8,2,4
402,8,3,4,8,5,6,4,9,1,6
403,6,2,9,10,2,5,8,9,4,4
404,10,5,10,10,10,10,10,10,6,6
405,96,96,96,96,96,96,96,96,1,6
406,10,2,9,10,3,2,9,10,6,6
407,10,6,2,10,8,8,10,10,1,1
408,8,6,8,8,7,6,9,10,4,6
409,8,8,5,5,7,3,8,10,1,1
410,96,96,96,96,96,96,96,96,2,3
411,96,96,96,96,96,96,96,96,1,3
412,96,96,96,96,96,96,96,96,2,5
413,96,96,96,96,96,96,96,96,2,2
414,10,4,10,10,1,6,10,10,2,2
415,96,96,96,96,96,96,96,96,1,1
416,96,96,96,96,96,96,96,96,1,2
417,6,2,8,9,2,5,6,9,4,4
418,96,96,96,96,96,96,96,96,1,1
419,96,96,96,96,96,96,96,96,2,2
420,10,9,10,10,10,10,7,10,6,6
421,96,96,96,96,96,96,96,96,1,1
422,8,0,5,10,6,3,8,8,6,6
423,10,0,10,10,0,0,10,10,1,1
424,96,96,96,96,96,96,96,96,3,4
425,9,6,10,8,7,6,10,10,1,5
426,96,96,96,96,96,96,96,96,1,1
427,8,10,8,7,4,5,5,8,3,4
428,96,96,96,96,96,96,96,96,1,1
429,10,9,7,8,10,4,10,10,3,3
430,96,96,96,96,96,96,96,96,1,1
431,7,5,10,10,97,7,7,10,6,6
432,0,5,8,9,5,5,0,5,4,4
433,10,6,10,10,6,5,7,9,4,6
434,7,5,8,10,5,6,7,8,3,5
435,7,4,7,9,3,3,5,7,2,3
436,96,96,96,96,96,96,96,96,3,5
437,7,96,8,9,4,2,7,8,1,3
438,96,96,96,96,96,96,96,96,2,2
439,10,10,6,10,10,5,5,5,6,6
440,5,7,5,8,3,3,8,5,3,4
441,96,96,96,96,96,96,96,96,1,2
442,9,5,9,10,0,3,10,10,2,2
443,8,96,9,10,10,5,7,10,1,2
444,10,0,10,10,7,7,8,10,2,2
445,7,6,6,5,5,7,7,8,4,6
446,10,0,10,10,0,0,10,10,2,2
447,10,10,10,10,1,5,9,10,4,6
448,96,96,96,96,96,96,96,96,2,6
449,8,8,5,10,7,7,8,10,2,2
450,8,3,8,8,10,5,7,8,3,3
451,7,5,7,9,0,3,5,6,3,4
452,96,96,96,96,96,96,96,96,3,6
453,5,96,10,10,10,10,10,10,6,6
454,96,96,96,96,96,96,96,96,2,3
455,9,96,9,8,0,8,10,10,1,3
456,9,4,10,10,5,5,7,8,3,6
457,96,96,96,96,96,96,96,96,1,2
458,96,96,96,96,96,96,96,96,1,3
459,96,96,96,96,96,96,96,96,1,1
460,8,2,8,10,8,1,10,10,6,6
461,96,96,96,96,96,96,96,96,1,1
462,7,9,9,9,4,8,6,6,2,4
463,96,96,96,96,96,96,96,96,3,4
464,96,96,96,96,96,96,96,96,1,5
465,96,96,96,96,96,96,96,96,1,3
466,10,96,10,10,0,2,9,10,1,3
467,9,2,9,9,1,8,10,9,4,4
468,7,0,8,8,5,3,7,7,2,3
469,9,3,8,10,9,10,7,8,5,5
470,5,9,5,5,10,5,5,10,2,2
471,96,96,96,96,96,96,96,96,2,4
472,10,5,10,10,0,3,8,10,3,6
473,8,4,10,10,10,2,10,10,1,1
474,10,3,10,10,5,5,10,10,2,2
475,96,96,96,96,96,96,96,96,1,4
476,10,8,10,9,8,8,8,10,2,4
477,96,96,96,96,96,96,96,96,1,4
478,8,6,10,8,0,2,10,8,1,2
479,10,0,10,10,5,0,10,10,4,4
480,6,5,3,8,9,7,7,5,3,4
481,5,4,5,5,1,6,6,5,3,3
482,8,4,9,10,1,10,10,10,3,6
483,96,96,96,96,96,96,96,96,2,2
484,7,10,10,10,7,10,10,10,2,2
485,8,7,8,8,10,9,7,10,2,4
486,96,96,96,96,96,96,96,96,1,1
487,5,5,7,7,10,5,3,6,1,3
488,8,5,6,8,7,7,6,9,1,6
489,7,9,9,10,3,4,5,8,5,5
490,5,96,8,8,6,0,8,10,2,3
491,8,6,8,9,7,3,8,8,3,4
492,96,96,96,96,96,96,96,96,2,3
493,9,7,8,10,3,3,9,10,6,6
494,7,4,8,9,4,4,7,7,3,3
495,8,4,8,10,0,0,9,9,1,1
496,8,9,5,10,10,4,9,5,2,6
497,10,5,10,10,10,5,5,10,2,2
498,10,0,10,10,0,0,10,10,2,2
499,96,96,96,96,96,96,96,96,3,3
500,96,96,96,96,96,96,96,96,1,1
501,96,96,96,96,96,96,96,96,2,2
502,8,2,10,10,5,7,3,6,6,6
503,10,2,10,10,2,0,10,10,4,4
504,6,10,5,4,10,10,0,3,3,6
505,96,96,96,96,96,96,96,96,2,2
506,96,96,96,96,96,96,96,96,1,1
507,8,10,10,10,6,1,10,10,2,3
508,96,96,96,96,96,96,96,96,3,3
509,10,96,10,10,2,8,10,10,5,5
510,8,6,8,10,0,5,8,10,3,4
511,96,96,96,96,96,96,96,96,1,5
512,7,96,8,8,6,5,6,8,1,3
513,96,96,96,96,96,96,96,96,3,3
514,5,0,0,0,5,10,3,0,2,2
515,10,10,7,10,3,4,10,10,3,3
516,7,96,10,10,0,0,10,10,3,3
517,2,5,8,9,3,3,9,4,3,6
518,96,96,96,96,96,96,96,96,1,6
519,5,5,5,5,5,5,5,5,1,1
520,96,96,96,96,96,96,96,96,1,5
521,96,96,96,96,96,96,96,96,2,4
522,9,3,10,10,2,5,10,10,4,4
523,9,6,8,6,5,10,5,10,2,5
524,10,2,10,10,6,3,7,10,2,6
525,96,96,96,96,96,96,96,96,1,1
526,10,10,10,10,5,5,10,10,2,2
527,7,96,7,9,9,10,7,9,1,6
528,10,96,10,10,0,4,10,10,2,4
529,10,2,10,10,5,2,8,10,2,6
530,96,96,96,96,96,96,96,96,1,3
531,5,9,5,8,10,5,2,2,2,5
532,8,1,8,8,1,1,10,10,4,4
533,8,4,8,10,1,3,9,10,6,6
534,10,1,10,10,2,3,10,10,3,4
535,96,96,96,96,96,96,96,96,3,5
536,10,99,10,10,1,1,10,10,2,2
537,9,96,10,10,1,8,10,10,2,6
538,9,1,9,9,1,1,9,9,1,1
539,10,4,10,10,5,5,5,10,2,2
540,96,96,96,96,96,96,96,96,2,2
541,8,2,9,10,7,3,5,10,6,6
542,8,7,8,9,10,5,8,10,1,4
543,10,0,10,10,0,0,10,10,1,5
544,96,96,96,96,96,96,96,96,2,4
545,9,99,10,10,10,5,10,10,2,2
546,10,5,10,10,4,0,7,9,5,6
547,96,96,96,96,96,96,96,96,1,1
548,8,96,10,10,0,5,5,10,3,6
549,9,3,9,10,0,7,7,8,1,5
550,8,96,6,9,10,10,8,2,1,6
551,3,96,8,3,5,5,5,5,1,3
552,96,96,96,96,96,96,96,96,1,3
553,5,7,10,7,3,9,7,10,1,1
554,9,9,7,9,4,5,8,9,3,3
555,96,96,96,96,96,96,96,96,1,1
556,9,1,8,9,5,7,9,9,2,4
557,10,96,10,10,0,5,10,10,4,4
558,9,8,5,10,10,10,8,10,3,6
559,7,10,7,10,4,9,6,10,2,2
560,7,5,7,8,7,8,7,9,4,6
561,7,2,5,10,3,1,8,8,4,4
562,9,5,9,8,7,8,8,9,5,6
563,8,8,6,10,10,5,9,10,2,2
564,10,10,10,10,0,5,10,10,4,4
565,96,96,96,96,96,96,96,96,2,2
566,4,2,7,8,0,0,8,7,3,6
567,8,5,8,9,0,2,8,8,2,2
568,8,8,9,10,10,5,8,8,4,6
569,8,2,7,10,5,3,6,8,6,6
570,10,5,10,10,0,5,7,7,5,6
571,6,7,7,8,7,6,10,5,2,2
572,9,7,10,10,6,9,10,10,2,4
573,9,5,10,10,5,0,10,10,3,6
574,10,0,10,10,0,8,10,10,3,6
575,8,4,8,8,1,9,2,6,2,2
576,7,3,8,10,10,6,7,9,2,5
577,8,10,8,10,3,7,9,10,1,3
578,96,96,96,96,96,96,96,96,1,5
579,10,96,10,10,10,4,10,10,4,6
580,8,10,8,10,10,10,10,10,4,4
581,96,96,96,96,96,96,96,96,2,4
582,10,97,10,10,10,3,10,10,3,4
583,96,96,96,96,96,96,96,96,1,5
584,5,10,10,10,10,5,5,10,1,5
585,9,10,10,10,1,7,10,10,2,3
586,10,0,10,10,8,7,10,10,4,6
587,96,96,96,96,96,96,96,96,3,6
588,9,7,9,10,0,7,7,8,2,3
589,96,96,96,96,96,96,96,96,2,2
590,8,7,10,10,0,6,10,10,1,1
591,6,8,8,8,6,6,7,7,2,2
592,10,96,9,10,7,8,9,10,5,6
593,10,0,10,10,0,0,10,10,1,2
594,96,96,96,96,96,96,96,96,1,6
595,96,96,96,96,96,96,96,96,4,4
596,7,3,1,10,5,3,7,7,4,4
597,9,7,8,7,3,5,4,9,3,4
598,10,0,10,10,0,0,10,10,2,2
599,96,96,96,96,96,96,96,96,3,6
600,96,96,96,96,96,96,96,96,1,1
601,10,96,9,10,10,1,7,10,1,6
602,6,5,8,10,3,7,5,5,6,6
603,10,96,8,10,4,6,9,10,1,6
604,96,96,96,96,96,96,96,96,1,1
605,10,6,10,10,2,10,9,10,3,3
606,96,96,96,96,96,96,96,96,1,3
607,96,96,96,96,96,96,96,96,1,6
608,96,96,96,96,96,96,96,96,1,1
609,10,7,10,10,1,0,10,10,3,3
610,96,96,96,96,96,96,96,96,2,2
611,8,2,9,10,5,3,9,9,3,5
612,10,5,9,10,10,3,6,10,3,4
613,6,7,8,10,2,5,7,10,3,4
614,96,96,96,96,96,96,96,96,1,2
615,10,5,10,10,10,8,10,10,2,2
616,10,2,8,10,3,3,5,10,2,2
617,6,5,8,8,2,5,6,8,6,6
618,8,10,0,4,10,8,10,10,2,2
619,10,1,10,10,1,4,10,10,2,4
620,9,8,9,9,7,2,9,9,1,1
621,6,10,10,10,10,10,10,10,3,4
622,10,7,9,10,0,0,10,10,1,4
623,7,97,9,10,7,7,9,10,1,3
624,10,7,10,10,6,6,9,9,6,6
625,8,96,8,10,5,3,6,7,4,4
626,96,96,96,96,96,96,96,96,1,1
627,96,96,96,96,96,96,96,96,2,2
628,7,6,10,7,7,2,6,8,2,3
629,96,96,96,96,96,96,96,96,4,6
630,96,96,96,96,96,96,96,96,2,4
631,5,3,7,8,5,7,7,7,2,4
