"","CASEID","Being happy when working hard","Cannot wait to leave work at the end of the day","Extra effort to get the job done without reward","Take pride in own work","Being happiest if never had to work again in life","Working drains energy from more important things","Best reward from working - Sense of accomplishment","Admiration for those who work hard","Income - Personal income group (before tax)"
"270",510,8,6,8,10,0,5,8,10,3
"271",514,5,0,0,0,5,10,3,0,2
"272",515,10,10,7,10,3,4,10,10,3
"273",517,2,5,8,9,3,3,9,4,3
"274",519,5,5,5,5,5,5,5,5,1
"275",522,9,3,10,10,2,5,10,10,4
"276",523,9,6,8,6,5,10,5,10,2
"277",524,10,2,10,10,6,3,7,10,2
"278",526,10,10,10,10,5,5,10,10,2
"279",529,10,2,10,10,5,2,8,10,2
"280",531,5,9,5,8,10,5,2,2,2
"281",532,8,1,8,8,1,1,10,10,4
"282",533,8,4,8,10,1,3,9,10,6
"283",534,10,1,10,10,2,3,10,10,3
"284",538,9,1,9,9,1,1,9,9,1
"285",539,10,4,10,10,5,5,5,10,2
"286",541,8,2,9,10,7,3,5,10,6
"287",542,8,7,8,9,10,5,8,10,1
"288",543,10,0,10,10,0,0,10,10,1
"289",546,10,5,10,10,4,0,7,9,5
"290",549,9,3,9,10,0,7,7,8,1
"291",553,5,7,10,7,3,9,7,10,1
"292",554,9,9,7,9,4,5,8,9,3
"293",556,9,1,8,9,5,7,9,9,2
"294",558,9,8,5,10,10,10,8,10,3
"295",559,7,10,7,10,4,9,6,10,2
"296",560,7,5,7,8,7,8,7,9,4
"297",561,7,2,5,10,3,1,8,8,4
"298",562,9,5,9,8,7,8,8,9,5
"299",563,8,8,6,10,10,5,9,10,2
"300",564,10,10,10,10,0,5,10,10,4
"301",566,4,2,7,8,0,0,8,7,3
"302",567,8,5,8,9,0,2,8,8,2
"303",568,8,8,9,10,10,5,8,8,4
"304",569,8,2,7,10,5,3,6,8,6
"305",570,10,5,10,10,0,5,7,7,5
"306",571,6,7,7,8,7,6,10,5,2
"307",572,9,7,10,10,6,9,10,10,2
"308",573,9,5,10,10,5,0,10,10,3
"309",574,10,0,10,10,0,8,10,10,3
"310",575,8,4,8,8,1,9,2,6,2
"311",576,7,3,8,10,10,6,7,9,2
"312",577,8,10,8,10,3,7,9,10,1
"313",580,8,10,8,10,10,10,10,10,4
"314",584,5,10,10,10,10,5,5,10,1
"315",585,9,10,10,10,1,7,10,10,2
"316",586,10,0,10,10,8,7,10,10,4
"317",588,9,7,9,10,0,7,7,8,2
"318",590,8,7,10,10,0,6,10,10,1
"319",591,6,8,8,8,6,6,7,7,2
"320",593,10,0,10,10,0,0,10,10,1
"321",596,7,3,1,10,5,3,7,7,4
"322",597,9,7,8,7,3,5,4,9,3
"323",598,10,0,10,10,0,0,10,10,2
"324",602,6,5,8,10,3,7,5,5,6
"325",605,10,6,10,10,2,10,9,10,3
"326",609,10,7,10,10,1,0,10,10,3
"327",611,8,2,9,10,5,3,9,9,3
"328",612,10,5,9,10,10,3,6,10,3
"329",613,6,7,8,10,2,5,7,10,3
"330",615,10,5,10,10,10,8,10,10,2
"331",616,10,2,8,10,3,3,5,10,2
"332",617,6,5,8,8,2,5,6,8,6
"333",618,8,10,0,4,10,8,10,10,2
"334",619,10,1,10,10,1,4,10,10,2
"335",620,9,8,9,9,7,2,9,9,1
"336",621,6,10,10,10,10,10,10,10,3
"337",622,10,7,9,10,0,0,10,10,1
"338",624,10,7,10,10,6,6,9,9,6
"339",628,7,6,10,7,7,2,6,8,2
"340",631,5,3,7,8,5,7,7,7,2
"341",635,10,2,10,10,8,0,10,10,2
"342",642,9,2,7,10,0,6,7,10,3
"343",643,10,10,7,10,5,7,8,10,4
"344",645,9,5,8,7,6,2,9,10,1
"345",646,7,6,7,8,7,7,6,7,2
"346",647,9,7,6,9,1,4,6,10,2
"347",648,8,7,7,8,7,5,7,10,6
"348",650,10,6,8,10,3,2,10,9,2
"349",651,9,6,8,9,6,5,7,8,4
"350",652,10,10,9,10,0,10,9,9,3
"351",653,4,5,8,8,5,5,10,9,2
"352",654,10,5,10,10,0,5,10,10,2
"353",655,8,9,8,9,5,10,7,8,2
"354",656,8,5,10,10,7,6,7,8,3
"355",660,10,0,10,10,0,0,10,10,3
"356",662,8,5,9,10,5,5,5,8,2
"357",663,5,7,7,10,2,5,5,10,2
"358",665,8,4,8,9,3,3,9,9,2
"359",666,10,2,10,10,4,8,10,10,4
"360",669,5,7,10,9,5,7,10,9,3
"361",674,7,3,8,9,2,5,9,9,3
"362",675,8,2,8,10,4,4,8,10,2
"363",676,8,6,7,8,10,3,7,9,2
"364",677,7,9,5,5,7,7,7,5,2
"365",679,10,5,10,10,10,3,5,10,1
"366",681,10,5,9,10,8,8,8,8,1
"367",683,10,7,10,10,7,0,10,10,5
"368",684,10,10,10,10,0,4,10,10,2
"369",688,7,6,7,6,4,6,8,8,1
"370",689,10,6,7,9,4,3,7,9,5
"371",690,10,8,9,10,3,0,10,10,1
"372",692,10,8,10,10,5,5,10,10,2
"373",693,3,5,7,8,5,3,5,5,2
"374",695,5,5,5,8,9,7,7,9,4
"375",696,8,5,9,9,4,2,7,9,4
"376",697,6,4,7,9,2,2,8,10,4
"377",699,10,4,10,10,8,4,10,10,3
"378",700,7,4,5,7,5,2,9,9,1
"379",704,10,3,10,10,10,3,10,7,4
"380",705,10,10,10,10,0,7,10,10,2
"381",707,9,2,10,10,6,7,9,10,5
"382",710,10,4,10,10,1,3,10,10,3
"383",711,8,5,8,9,8,6,7,8,3
"384",712,5,6,10,10,5,9,6,9,4
"385",715,8,8,10,9,3,4,8,10,1
"386",717,0,10,9,9,10,8,1,1,3
"387",718,7,9,6,8,10,7,6,6,6
"388",719,8,3,10,9,1,1,7,7,3
"389",720,10,5,10,10,5,7,9,10,3
"390",721,8,2,10,8,0,1,7,10,2
"391",722,8,6,8,9,7,5,8,9,4
"392",724,5,2,10,10,5,8,8,5,2
"393",726,6,1,0,10,4,2,10,10,4
"394",728,6,3,8,7,5,7,6,7,2
"395",729,10,1,10,10,2,2,6,10,4
"396",730,10,8,10,10,1,2,10,10,2
"397",731,9,10,9,10,10,7,8,10,3
"398",733,7,0,9,10,5,1,9,9,4
"399",734,8,8,6,8,10,9,8,8,2
"400",738,7,10,10,10,10,6,8,8,2
"401",739,8,10,8,10,3,4,8,8,3
"402",748,10,0,10,10,0,0,10,10,2
"403",751,6,10,4,8,10,0,10,10,3
"404",752,10,10,10,10,10,0,7,10,6
"405",753,6,9,1,8,7,6,3,7,1
"406",756,9,9,9,9,8,4,8,10,2
"407",757,10,9,10,10,4,6,10,10,1
"408",758,10,0,10,10,0,2,10,10,3
"409",759,10,2,10,10,0,2,8,10,3
"410",760,8,10,10,10,3,7,8,10,3
"411",761,10,10,10,10,10,5,10,10,2
"412",763,10,10,3,10,10,5,5,10,3
"413",768,9,9,8,10,4,2,10,10,3
"414",769,8,5,10,9,0,0,8,9,1
"415",770,9,0,8,10,6,7,8,7,2
"416",771,9,10,10,10,0,6,10,10,1
"417",772,8,9,9,8,6,8,5,7,2
"418",773,9,9,8,9,4,4,4,9,2
"419",774,6,7,6,7,8,7,7,5,2
"420",775,9,7,8,9,0,8,9,10,1
"421",776,7,9,6,10,10,10,0,6,1
"422",781,9,9,10,10,9,9,8,10,5
"423",782,10,8,8,10,2,6,10,10,2
"424",784,10,0,10,10,10,7,2,2,3
"425",790,8,5,8,10,5,6,9,10,2
"426",791,5,5,7,8,10,5,5,5,5
"427",794,10,10,8,10,3,7,10,10,2
"428",797,8,8,7,7,10,2,4,7,2
"429",804,7,7,10,10,0,7,10,10,6
"430",806,9,9,9,9,5,7,9,9,2
"431",807,2,6,5,4,0,1,5,9,4
"432",808,10,4,10,10,2,2,10,10,1
"433",809,9,2,8,9,6,3,10,10,1
"434",810,10,8,9,10,6,10,10,10,1
"435",811,9,5,10,10,10,10,10,10,3
"436",813,1,0,10,10,2,0,10,0,2
"437",814,10,2,10,10,2,2,10,10,4
"438",815,10,10,8,10,10,8,8,10,2
"439",816,7,4,7,8,4,4,9,9,3
"440",821,10,7,9,10,0,6,10,10,2
"441",822,8,0,9,9,3,2,9,9,6
"442",824,6,10,7,8,10,10,7,10,1
"443",825,5,10,10,5,10,5,5,5,2
"444",830,7,0,8,10,0,0,8,7,2
"445",831,7,0,10,10,0,4,9,10,2
"446",832,10,10,10,10,10,5,3,10,2
"447",833,7,4,9,10,5,8,10,10,1
"448",836,8,7,7,9,2,3,8,10,1
"449",837,8,0,9,10,10,7,10,10,2
"450",838,1,10,8,5,5,7,3,3,3
"451",843,8,7,0,5,5,1,5,9,5
"452",846,10,4,7,8,5,7,5,6,2
"453",847,9,9,9,9,8,7,9,10,2
"454",848,9,9,9,9,10,5,9,9,4
"455",849,5,6,5,10,7,7,3,8,3
"456",852,9,4,9,9,8,4,8,9,3
"457",853,7,10,5,5,10,10,2,6,1
"458",855,10,1,10,10,10,5,10,10,2
"459",856,7,5,6,8,1,0,6,10,1
"460",857,0,0,0,10,0,0,8,4,2
"461",860,9,7,7,10,1,6,10,10,1
"462",861,8,8,8,10,4,3,6,8,3
"463",864,8,5,8,9,10,5,8,8,6
"464",865,8,10,5,7,10,8,8,10,5
"465",867,9,5,10,10,7,5,9,10,6
"466",869,10,9,10,10,8,8,10,10,4
"467",870,9,1,5,10,1,1,6,9,3
"468",872,9,5,10,10,2,1,6,10,2
"469",875,8,10,10,10,4,6,8,10,2
"470",876,8,10,7,9,10,8,10,10,1
"471",879,8,2,10,10,0,8,8,6,4
"472",880,8,8,8,8,5,5,5,8,3
"473",884,8,6,10,10,3,3,7,10,4
"474",887,8,6,9,10,10,7,9,10,6
"475",888,7,4,9,9,5,2,8,9,6
"476",890,8,2,8,9,1,2,7,7,3
"477",891,8,7,9,10,10,5,9,9,2
"478",892,10,0,10,10,1,3,10,8,5
"479",893,8,5,9,10,6,7,7,8,4
"480",894,9,6,10,10,5,5,10,10,1
"481",895,10,5,10,10,8,7,10,10,4
"482",896,9,6,9,10,0,2,9,10,3
"483",899,10,3,10,10,10,9,7,10,4
"484",901,10,10,10,10,10,10,10,10,3
"485",902,7,10,7,7,10,10,7,7,3
"486",903,10,5,10,10,0,5,10,10,2
"487",904,8,3,8,9,2,3,9,9,4
"488",905,10,8,7,10,4,4,7,10,2
"489",906,9,6,10,10,3,1,10,10,3
"490",907,8,5,9,10,2,7,10,10,5
"491",908,10,2,8,10,0,0,10,10,6
"492",916,9,8,10,10,6,8,5,10,3
"493",917,10,0,10,10,7,0,10,7,5
"494",923,9,3,8,9,4,5,6,5,3
"495",925,7,5,8,10,3,3,6,6,4
"496",926,8,0,8,10,0,2,8,10,3
"497",927,10,4,7,10,5,5,8,10,4
"498",928,7,3,10,8,5,0,7,10,1
"499",934,5,8,8,8,4,7,5,9,3
"500",935,9,0,10,10,3,0,10,10,2
"501",936,9,5,9,10,5,5,7,8,1
"502",937,10,4,10,10,1,0,9,10,5
"503",938,10,7,10,10,1,2,10,10,2
"504",939,6,5,5,10,5,5,5,7,3
"505",940,10,1,10,10,1,0,10,10,1
"506",942,10,2,8,8,4,0,8,10,5
"507",944,10,10,10,10,10,10,10,10,2
"508",946,8,5,0,10,10,0,10,10,6
"509",947,8,8,8,10,3,5,7,8,5
"510",949,7,10,10,7,10,4,5,8,1
"511",950,8,2,6,9,10,3,8,8,2
"512",951,10,5,10,10,5,7,5,10,1
"513",952,9,4,8,8,2,0,8,8,1
"514",953,8,5,7,9,7,7,7,9,1
"515",954,8,7,7,7,7,7,6,8,4
"516",957,8,7,10,10,8,7,10,9,4
"517",958,9,4,8,10,0,7,10,10,1
"518",961,7,3,8,9,0,2,8,8,3
"519",966,7,7,8,8,9,10,8,9,1
"520",968,8,5,10,10,10,7,10,9,4
"521",970,10,1,10,10,1,1,10,10,3
"522",971,8,10,3,10,10,7,8,10,1
"523",972,6,9,8,8,10,5,5,8,2
"524",973,8,7,9,8,5,6,7,9,2
"525",974,10,2,8,10,8,3,10,10,5
"526",976,8,7,1,5,8,7,5,9,3
"527",978,10,3,8,10,3,4,7,8,3
"528",980,10,0,10,10,0,0,10,10,2
"529",981,9,2,10,10,1,7,7,10,3
"530",982,10,10,5,10,6,7,10,10,2
"531",983,8,3,10,10,7,3,7,10,5
"532",984,8,9,5,4,2,2,10,10,1
"533",986,8,8,10,10,8,5,9,10,3
"534",987,7,5,7,8,0,3,6,8,2
"535",988,6,3,10,10,7,8,8,8,4
"536",991,10,2,10,10,3,3,3,10,3
"537",997,8,2,8,10,0,3,9,9,6
"538",1001,10,5,8,10,3,3,8,8,3
"539",1004,10,10,10,10,1,1,10,10,3
"540",1005,5,8,7,9,10,3,5,7,6
"541",1006,10,10,10,10,0,5,10,10,3
"542",1007,9,7,10,9,3,1,10,10,1
"543",1009,8,3,8,10,5,10,9,10,2
"544",1011,7,7,8,9,3,5,8,8,3
"545",1012,10,0,10,10,10,0,10,10,6
"546",1013,8,7,10,10,3,6,5,8,3
"547",1014,8,1,10,10,7,8,10,10,1
"548",1016,8,7,8,8,3,5,7,7,3
"549",1017,10,2,9,10,5,3,8,10,2
"550",1019,9,0,9,6,0,0,10,10,1
"551",1021,9,3,8,9,0,8,8,10,4
"552",1023,7,3,10,10,8,2,6,7,1
"553",1024,9,9,8,9,8,4,10,9,1
"554",1025,10,5,10,10,5,5,10,10,5
"555",1027,10,0,10,10,1,1,10,10,6
"556",1030,5,10,10,10,10,4,5,10,5
"557",1034,8,5,8,9,5,5,5,8,4
"558",1035,5,5,8,10,1,1,8,10,1
"559",1036,8,8,10,10,5,5,10,10,4
"560",1037,8,8,8,8,4,1,8,10,4
"561",1038,8,0,0,10,0,0,10,8,2
"562",1039,9,7,8,10,0,4,7,10,3
"563",1041,10,4,10,10,10,3,8,10,4
"564",1042,8,4,7,9,10,4,3,7,1
"565",1045,7,10,9,7,7,5,5,9,2
"566",1047,9,7,5,8,5,5,8,8,3
"567",1051,5,6,10,9,5,8,10,10,4
"568",1052,10,10,8,10,10,8,8,10,4
"569",1054,9,10,7,10,0,0,10,10,3
"570",1055,8,3,8,9,3,5,9,9,4
"571",1056,8,2,10,10,0,0,10,10,3
"572",1057,5,5,5,8,10,10,9,5,3
"573",1059,9,2,10,10,1,3,9,9,3
"574",1060,5,5,5,10,10,10,5,10,3
"575",1061,10,3,10,10,1,1,10,10,3
"576",1062,8,8,9,10,6,5,8,10,1
"577",1066,8,3,10,10,5,4,8,8,2
"578",1070,10,1,10,10,10,10,8,10,4
"579",1073,8,6,9,10,10,10,10,10,2
"580",1075,10,10,10,10,1,0,7,10,2
"581",1076,8,8,7,8,10,7,8,8,3
"582",1078,8,0,10,10,5,3,9,10,5
"583",1080,8,4,7,8,4,5,8,8,4
"584",1082,9,5,8,10,3,8,9,10,4
"585",1083,8,8,10,10,0,0,10,10,2
"586",1086,10,7,10,10,5,3,10,9,6
"587",1087,10,10,10,10,10,8,8,10,1
"588",1089,8,5,5,10,5,5,10,10,3
"589",1092,7,5,7,10,5,1,5,7,2
"590",1096,9,7,10,10,0,2,10,10,3
"591",1097,10,1,10,10,10,5,10,10,2
"592",1099,9,1,10,10,1,1,9,10,2
"593",1102,7,5,10,10,0,7,10,10,5
"594",1103,5,0,10,10,0,5,10,5,6
"595",1104,5,5,5,5,0,0,10,10,2
